Property type,Rooms,Floor,Furnished,Balcony,Available from,Monthly net rent,Utilities,Deposit,Prepaid rent,Move-in price,Creation Date,district
Apartment,3,3,No,No,2024-04-03,19500,1250,58500,58500,137750,2024-03-20,Indre By
Apartment,4,2,No,No,2024-04-03,25700,1850,77100,77100,181750,2024-03-20,Indre By
Apartment,1,0,Yes,Yes,2024-04-03,13292,575,39876,39876,93619,2024-03-20,Østerbro
Apartment,1,1,No,No,2024-04-03,7800,750,23400,7800,39750,2024-03-19,Vanløse
Room,1,2,Yes,Yes,2024-04-03,5900,0,5900,5900,17700,2024-03-19,Indre By
Apartment,1,3,No,No,2024-04-03,8600,300,17200,17200,43300,2024-03-19,Østerbro
Apartment,2,2,No,No,2024-04-03,14200,450,42600,14200,71450,2024-03-18,Vesterbro-Kongens Enghave
Apartment,1,2,Yes,No,2024-04-03,9500,550,19000,9500,38550,2023-04-19,Amager Vest
Room,1,4,Yes,No,2024-04-03,7100,0,14200,0,21300,2024-03-19,Vesterbro-Kongens Enghave
Apartment,3,0,No,Yes,2024-04-03,11500,500,20000,0,32000,2024-03-19,Vanløse
Apartment,2,1,Yes,No,2024-04-03,6300,0,6300,0,12600,2024-03-18,Vanløse
Apartment,3,4,No,No,2024-04-03,14000,1100,42000,14000,71100,2024-03-18,Vesterbro-Kongens Enghave
Apartment,3,1,No,No,2024-04-03,13300,1050,39900,13300,67550,2024-03-18,Valby
Apartment,1,0,No,Yes,2024-04-03,11500,700,34500,11500,58200,2024-03-18,Valby
Apartment,3,1,No,No,2024-04-03,17600,790,52800,17600,88790,2024-03-18,Vesterbro-Kongens Enghave
Apartment,2,1,No,No,2024-04-03,15300,360,45900,15300,76860,2024-03-18,Vesterbro-Kongens Enghave
Apartment,2,0,No,No,2024-04-03,12400,960,37200,12400,62960,2024-03-18,Valby
Apartment,1,0,No,No,2024-04-03,11800,650,35400,11800,59650,2024-03-18,Vesterbro-Kongens Enghave
Room,1,2,Yes,No,2024-04-03,5500,0,11000,0,16500,2024-03-17,Valby
Apartment,2,1,Yes,No,2024-04-03,9200,500,18400,9200,37300,2024-03-17,Brønshøj-Husum
Apartment,3,3,No,Yes,2024-04-03,14500,1100,43500,43500,102600,2024-03-15,Vesterbro-Kongens Enghave
Apartment,4,1,No,Yes,2024-04-03,17500,1400,52500,52500,123900,2024-03-15,Vesterbro-Kongens Enghave
Apartment,3,1,No,Not specified,2024-04-03,19900,,59700,,79600,2024-03-14,Østerbro
Apartment,2,4,No,Yes,2024-04-03,18200,1050,54600,54600,128450,2024-03-13,Indre By
Apartment,3,1,Yes,Yes,2024-04-03,15300,750,30600,15300,61950,2023-04-19,Amager Vest
Room,1,3,Yes,No,2024-04-03,7100,0,14200,0,21300,2024-03-11,Vesterbro-Kongens Enghave
Apartment,3,2,Yes,Yes,2024-04-03,4000,1000,10000,4000,19000,2024-03-11,Nørrebro
Room,1,0,Yes,Not specified,2024-04-03,5500,0,5500,0,11000,2024-03-08,Nørrebro
Apartment,4,0,No,No,2024-04-03,14000,1900,42000,42000,99900,2024-03-08,Vanløse
Room,1,1,No,Yes,2024-04-03,5000,0,5000,10000,20000,2024-03-08,Østerbro
Room,1,3,No,Yes,2024-04-03,5500,500,5500,5500,17000,2024-03-08,Nørrebro
Apartment,2,0,Yes,No,2024-04-03,14000,1500,28000,0,43500,2024-03-07,Østerbro
Apartment,6,1,Yes,No,2024-04-03,39500,2500,118500,0,160500,2024-03-07,Indre By
Apartment,1,4,Yes,No,2024-04-03,8000,500,15000,0,23500,2024-03-06,Vesterbro-Kongens Enghave
Apartment,1,5,No,Yes,2024-04-03,11200,750,33600,11200,56750,2024-03-06,Valby
Apartment,2,4,No,No,2024-04-03,13250,250,39750,13250,66500,2024-03-06,Valby
Apartment,2,4,No,No,2024-04-03,13250,600,39750,13250,66850,2024-03-06,Valby
Room,1,4,Yes,No,2024-04-03,6900,0,20700,0,27600,2024-03-11,Indre By
Room,1,2,Yes,Yes,2024-04-03,5500,500,5500,5500,17000,2024-03-04,Nørrebro
Apartment,2,5,Yes,No,2024-04-03,18000,750,36000,0,54750,2024-03-02,Østerbro
Room,1,2,Yes,Yes,2024-04-03,5500,0,2500,5500,13500,2024-03-02,Vesterbro-Kongens Enghave
Apartment,3,1,No,Yes,2024-04-03,15050,450,45150,15050,75700,2024-03-01,Vesterbro-Kongens Enghave
Apartment,4,0,No,Yes,2024-04-03,25000,1500,75000,0,101500,2024-03-01,Indre By
Apartment,3,0,No,Not specified,2024-04-03,19900,1100,59700,0,80700,2024-02-29,Vesterbro-Kongens Enghave
Apartment,2,0,No,No,2024-04-03,8107,1518,24321,24321,58267,2024-02-29,Brønshøj-Husum
Room,1,1,Yes,Yes,2024-04-03,3500,0,5000,0,8500,2024-02-29,Bispebjerg
Apartment,2,6,Yes,Yes,2024-04-03,19000,400,19000,0,38400,2024-02-28,Østerbro
Room,1,0,Yes,Yes,2024-04-03,4500,0,0,0,4500,2024-02-28,Valby
Apartment,3,3,No,Yes,2024-04-03,17500,1099,52500,17500,88599,2024-02-28,Indre By
Apartment,3,2,No,No,2024-04-03,23600,1600,70800,70800,166800,2024-02-27,Indre By
Room,1,1,Yes,Yes,2024-04-03,8000,0,8000,0,16000,2024-02-26,Bispebjerg
Apartment,3,2,No,Yes,2024-04-03,14700,1000,44100,0,59800,2024-02-26,Vesterbro-Kongens Enghave
Room,1,5,Yes,No,2024-04-03,5800,0,2000,5800,13600,2024-02-22,Nørrebro
Apartment,4,3,Yes,No,2024-04-03,22000,,66000,0,88000,2024-02-22,Indre By
Apartment,4,4,No,Yes,2024-04-03,20000,1000,60000,40000,121000,2024-02-21,Østerbro
Apartment,2,6,Yes,No,2024-04-03,12900,1500,38700,0,53100,2024-02-21,Vesterbro-Kongens Enghave
Apartment,1,3,No,No,2024-04-03,6950,428,20850,6950,35178,2024-02-21,Valby
Room,1,1,Yes,Yes,2024-04-03,7000,700,21000,7000,35700,2024-02-21,Østerbro
Room,1,5,Yes,No,2024-04-03,6500,0,13000,0,19500,2024-02-20,Vesterbro-Kongens Enghave
Room,1,5,Yes,No,2024-04-03,8000,0,16000,8000,32000,2024-02-20,Indre By
Apartment,3,1,Yes,No,2024-04-03,25000,1515,75000,,101515,2024-02-20,Østerbro
Apartment,3,2,No,Yes,2024-04-03,17000,1000,51000,34000,103000,2024-02-19,Vesterbro-Kongens Enghave
Apartment,4,2,Yes,Yes,2024-04-03,22725,0,0,0,22725,2024-02-16,Vesterbro-Kongens Enghave
Apartment,2,2,No,Yes,2024-04-03,18000,1100,37000,18000,74100,2024-02-19,Østerbro
Room,1,0,No,No,2024-04-03,6000,300,18000,6000,30300,2024-02-18,Indre By
Apartment,4,1,No,No,2024-04-03,19900,800,39800,39800,100300,2024-02-18,Vesterbro-Kongens Enghave
Room,1,3,No,Yes,2024-04-03,6000,500,18000,18000,42500,2024-02-16,Østerbro
Apartment,1,4,No,No,2024-04-03,8400,577,25200,16800,50977,2024-02-16,Valby
Apartment,3,1,No,Not specified,2024-04-03,19500,1250,58500,58500,137750,2024-02-12,Indre By
Apartment,3,2,Yes,Yes,2024-04-03,18500,1000,45000,0,64500,2024-02-07,Nørrebro
Apartment,4,1,No,Yes,2024-04-03,39900,4800,119700,,164400,2024-02-06,Østerbro
Apartment,3,3,No,No,2024-04-03,20900,1000,62700,0,84600,2024-02-06,Indre By
Apartment,1,3,No,No,2024-04-03,10900,250,32700,10900,54750,2024-02-05,Valby
Room,1,3,Yes,No,2024-04-03,6250,0,12500,0,18750,2024-02-04,Nørrebro
Apartment,1,2,No,No,2024-04-03,8100,550,24300,8100,41050,2024-02-02,Vesterbro-Kongens Enghave
Apartment,4,1,No,Yes,2024-04-03,15195,700,45585,15195,76675,2024-02-02,Vanløse
Room,1,0,Yes,No,2024-04-03,4500,500,5000,0,10000,2024-01-30,Valby
Apartment,5,4,No,Yes,2024-04-03,21250,1400,63750,63750,150150,2024-02-01,Vesterbro-Kongens Enghave
Apartment,1,1,Yes,Yes,2024-04-03,11440,550,22880,11440,46310,2023-04-19,Amager Vest
Apartment,4,1,No,Yes,2024-04-03,23900,1500,71700,0,97100,2024-02-01,Indre By
Room,1,1,No,No,2024-04-03,5000,0,5000,5000,15000,2024-01-31,Vesterbro-Kongens Enghave
Apartment,4,2,Yes,No,2024-04-03,26500,1000,53000,0,80500,2024-01-31,Indre By
Apartment,1,4,No,No,2024-04-03,8350,550,25050,8350,42300,2024-01-30,Vesterbro-Kongens Enghave
Apartment,5,3,No,No,2024-04-03,19500,0,58500,0,78000,2024-01-21,Valby
Room,1,2,No,No,2024-04-03,5000,0,10000,10000,25000,2024-01-21,Vanløse
Room,1,0,No,No,2024-04-03,4500,0,13500,13500,31500,2024-01-21,Vanløse
Apartment,1,2,No,No,2024-04-03,8250,400,24750,8250,41650,2024-01-18,Vesterbro-Kongens Enghave
Apartment,3,3,No,No,2024-04-03,13950,1000,40000,0,54950,2024-01-17,Brønshøj-Husum
Apartment,1,1,No,No,2024-04-03,7400,690,22200,7400,37690,2024-01-15,Østerbro
Townhouse,5,0,Yes,Yes,2024-04-03,25000,2000,50000,0,77000,2024-01-15,Vesterbro-Kongens Enghave
Apartment,3,1,No,Yes,2024-04-03,7500,1000,22500,15000,46000,2024-01-08,Brønshøj-Husum
Apartment,1,1,No,No,2024-04-03,8050,550,24150,8050,40800,2024-01-05,Vesterbro-Kongens Enghave
Apartment,2,3,No,No,2024-04-03,10450,650,31350,10450,52900,2024-01-05,Vesterbro-Kongens Enghave
Apartment,3,2,Yes,No,2024-04-03,14500,1300,30000,14500,60300,2024-01-04,Vanløse
Apartment,3,4,Yes,Yes,2024-04-03,21200,1200,42400,21200,86000,2024-01-04,Østerbro
Apartment,1,0,No,Yes,2024-04-03,7534,500,22602,7534,38170,2024-01-04,Bispebjerg
Apartment,2,2,Yes,Yes,2024-04-03,9000,0,9000,0,18000,2024-01-03,Brønshøj-Husum
Apartment,4,1,No,Yes,2024-04-03,39900,4000,119700,119700,283300,2024-01-03,Østerbro
Apartment,2,3,No,No,2024-04-03,15900,800,47700,15900,80300,2024-01-03,Indre By
Apartment,1,2,Yes,Yes,2024-04-03,6200,0,2000,6200,14400,2023-12-29,Bispebjerg
Apartment,3,2,Yes,Yes,2024-04-03,18500,0,37000,0,55500,2023-10-13,Amager Vest
Room,1,1,Yes,No,2024-04-03,6500,0,13000,0,19500,2023-12-28,Brønshøj-Husum
Room,2,-1,No,No,2024-04-03,5200,0,10000,0,15200,2023-12-28,Vanløse
Room,1,0,No,No,2024-04-03,5200,0,10400,5200,20800,2023-12-21,Nørrebro
Apartment,3,1,No,Yes,2024-04-03,20000,1000,60000,,81000,2023-12-21,Vesterbro-Kongens Enghave
Apartment,4,0,No,Yes,2024-04-30,15000,950,45000,15000,75950,2024-02-08,Amager Vest
Apartment,4,3,No,Yes,2024-04-03,17000,1100,51000,17000,86100,2023-10-02,Amager Vest
Apartment,4,1,No,Yes,2024-04-03,17950,1200,53850,17950,90950,2023-10-05,Amager Vest
Room,1,3,Yes,Yes,2024-04-03,6000,400,18000,6000,30400,2023-01-10,Amager Vest
Apartment,1,1,No,No,2024-04-03,8500,500,8500,8500,26000,2022-11-01,Østerbro
Apartment,5,4,No,Not specified,2024-04-03,16500,800,49500,33000,99800,2024-03-21,Bispebjerg
Apartment,2,3,No,Yes,2024-04-03,11000,0,0,11000,22000,2024-03-18,Vesterbro-Kongens Enghave
Apartment,6,2,No,No,2024-04-03,26000,0,78000,0,104000,2024-03-15,Indre By
Apartment,5,2,No,Yes,2024-04-03,20250,1500,60750,60750,143250,2024-03-15,Vesterbro-Kongens Enghave
Apartment,1,2,No,Yes,2024-04-03,9800,650,29400,9800,49650,2024-03-13,Vanløse
Apartment,2,1,Yes,Yes,2024-04-03,13000,0,26000,0,39000,2024-03-07,Nørrebro
Room,1,0,No,No,2024-04-03,5100,0,10200,0,15300,2024-03-06,Vanløse
Apartment,2,7,No,Yes,2024-04-03,12700,700,25400,12700,51500,2023-10-31,Amager Vest
Room,1,0,Yes,No,2024-04-03,3400,600,6000,0,10000,2022-11-10,Amager Vest
Apartment,3,4,No,Yes,2024-04-03,28995,2000,86985,28995,146975,2023-01-23,Amager Vest
Room,1,0,Yes,No,2024-04-03,5500,0,1000,5500,12000,2024-02-15,Amager Vest
Room,1,0,Yes,Yes,2024-04-03,7500,0,7500,7500,22500,2024-02-12,Amager Vest
Apartment,3,5,No,Yes,2024-04-03,14300,700,42900,14300,72200,2024-03-21,Amager Vest
Apartment,2,4,No,Yes,2024-04-03,12700,650,38100,12700,64150,2024-03-21,Amager Vest
Apartment,2,6,No,Yes,2024-04-03,13000,600,39000,13000,65600,2024-03-21,Amager Vest
Apartment,4,1,No,No,2024-04-03,15500,1500,31000,15500,63500,2024-03-21,Amager Øst
Apartment,4,3,No,Yes,2024-04-03,17950,1470,53850,17950,91220,2024-03-21,Amager Vest
Apartment,1,1,Yes,Yes,2024-04-30,9000,400,9000,27000,45400,2024-03-21,Amager Vest
Apartment,1,4,No,Yes,2024-04-30,9100,400,27300,9100,45900,2024-02-08,Amager Vest
Apartment,2,5,No,Yes,2024-06-01,13150,700,39450,13150,66450,2024-03-21,Amager Vest
Room,1,1,Yes,Yes,2024-04-01,4200,0,5000,0,9200,2024-03-21,Amager Øst
Apartment,5,1,No,No,2024-06-01,16600,1200,49800,16600,84200,2024-03-21,Amager Vest
Apartment,2,3,No,Yes,2024-05-01,13995,850,41985,13995,70825,2024-03-21,Amager Øst
Apartment,3,3,No,Yes,2024-06-01,17034,650,51102,17034,85820,2024-03-20,Amager Vest
Apartment,2,2,No,Yes,2024-06-01,12500,800,37500,12500,63300,2024-03-20,Amager Vest
Apartment,2,1,No,Yes,2024-04-15,13750,830,41250,13750,69580,2024-03-20,Amager Øst
Apartment,2,2,Yes,Yes,2024-05-01,15900,900,47700,0,64500,2024-03-20,Amager Vest
Apartment,3,3,No,Yes,2024-07-01,13500,1000,40500,13500,68500,2024-03-20,Amager Vest
Apartment,3,4,No,Yes,2024-03-31,19600,1000,58800,19600,99000,2024-03-19,Amager Vest
Apartment,3,1,No,Yes,2024-07-01,13905,850,41715,13905,70375,2024-03-20,Amager Vest
Apartment,3,2,Yes,Yes,2024-05-01,25000,1000,25000,25000,76000,2024-03-20,Amager Vest
Room,1,3,Yes,No,2024-04-01,6000,0,6000,0,12000,2024-03-20,Amager Øst
Room,1,0,Yes,Yes,2024-05-01,6250,500,18000,0,24750,2024-03-19,Amager Vest
Apartment,2,2,No,Yes,2024-06-01,13650,700,40950,13650,68950,2024-03-19,Amager Øst
Apartment,2,3,No,Yes,2024-05-31,12300,550,36900,12300,62050,2024-03-19,Amager Vest
Apartment,2,1,No,Yes,2024-04-15,14200,800,42600,14200,71800,2024-03-19,Amager Øst
Apartment,3,4,No,Yes,2024-07-01,16300,1000,48900,16300,82500,2024-03-19,Amager Øst
Apartment,4,7,No,Yes,2024-05-31,20500,1150,61500,20500,103650,2024-03-19,Amager Vest
Apartment,4,3,No,Yes,2024-04-01,15900,800,47700,15900,80300,2024-03-19,Amager Vest
Apartment,1,1,No,Yes,2024-04-30,8600,400,25800,8600,43400,2024-03-19,Amager Vest
Apartment,4,5,No,Yes,2024-04-30,17600,1050,52800,17600,89050,2024-03-19,Amager Vest
Apartment,3,3,No,Yes,2024-07-15,14227,1080,42681,14227,72215,2024-03-19,Amager Vest
Room,1,0,Yes,Yes,2024-05-01,5300,0,5300,5300,15900,2024-03-19,Amager Øst
Apartment,3,0,No,Yes,2024-06-01,13800,850,41400,13800,69850,2024-03-19,Amager Vest
Room,1,4,Yes,Yes,2024-04-01,7000,1000,7500,0,15500,2024-03-19,Amager Vest
Room,1,8,No,Yes,2024-05-01,5900,0,17700,5900,29500,2024-03-18,Amager Vest
Apartment,4,4,No,No,2024-05-01,18500,1200,55500,55500,130700,2024-03-18,Amager Vest
Apartment,2,3,No,No,2024-05-01,12000,500,24000,0,36500,2024-03-18,Amager Øst
Apartment,1,0,No,Yes,2024-04-30,8600,550,25800,8600,43550,2024-03-18,Amager Vest
Apartment,1,0,No,Yes,2024-04-30,8600,450,25800,8600,43450,2024-03-18,Amager Vest
Apartment,2,6,No,Yes,2024-07-01,13900,800,41700,13900,70300,2024-03-18,Amager Øst
Apartment,2,1,Yes,Yes,2024-05-01,12500,650,37500,12500,63150,2024-03-18,Amager Vest
Apartment,2,3,No,Yes,2024-05-31,12200,650,36600,12200,61650,2024-03-18,Amager Øst
Room,1,1,Yes,Yes,2024-05-01,5500,500,16500,0,22500,2024-03-18,Amager Vest
Room,1,0,Yes,No,2024-04-01,4500,0,13500,0,18000,2024-03-18,Amager Øst
Apartment,2,2,Yes,Yes,2024-05-15,16000,900,48000,0,64900,2024-03-18,Amager Vest
Apartment,2,3,Yes,No,2024-04-07,10500,0,21000,0,31500,2024-03-16,Amager Øst
Room,1,3,Yes,Yes,2024-04-01,5500,0,5500,5500,16500,2024-03-15,Amager Vest
Apartment,2,5,No,Yes,2024-05-01,13850,700,41550,13850,69950,2024-03-15,Amager Øst
Apartment,4,3,No,No,2024-06-01,15100,700,45300,15100,76200,2024-03-15,Amager Vest
Apartment,3,2,No,No,2024-07-15,14586,950,43758,14586,73880,2024-03-15,Amager Vest
Apartment,3,3,No,Yes,2024-06-01,12924,700,38772,12924,65320,2024-03-15,Amager Vest
Apartment,3,4,No,Yes,2024-06-01,15052,950,45156,15052,76210,2024-03-15,Amager Vest
Room,1,4,Yes,No,2024-04-01,5000,0,10000,0,15000,2024-03-15,Amager Vest
Apartment,3,2,No,Yes,2024-04-01,15850,970,47550,15850,80220,2024-03-15,Amager Vest
Apartment,3,4,No,Yes,2024-05-01,14365,1080,43095,14365,72905,2024-03-15,Amager Vest
Apartment,2,4,No,Yes,2024-05-01,12092,732,36276,12092,61192,2024-03-15,Amager Vest
Townhouse,5,0,No,Yes,2024-04-01,17954,1405,53862,17954,91175,2024-03-15,Amager Vest
Townhouse,5,0,No,Yes,2024-06-01,16881,1384,50643,16881,85789,2024-03-15,Amager Vest
Apartment,3,5,No,Yes,2024-06-01,15400,1000,46200,15400,78000,2024-03-14,Amager Vest
Apartment,4,6,No,Yes,2024-04-01,15000,825,45000,15000,75825,2024-03-14,Amager Vest
Apartment,4,3,No,Yes,2024-05-01,15100,870,45300,15100,76370,2024-03-14,Amager Vest
Apartment,4,5,No,Yes,2024-05-01,15000,825,44100,14700,74625,2024-03-14,Amager Vest
Apartment,3,7,No,Yes,2024-05-01,14400,790,43200,14400,72790,2024-03-14,Amager Vest
Apartment,3,1,No,Yes,2024-04-30,13450,750,40350,13450,68000,2024-03-14,Amager Vest
Apartment,1,2,No,Yes,2024-04-30,8300,500,24900,8300,42000,2024-03-14,Amager Vest
Townhouse,5,0,No,Yes,2024-06-01,16757,2080,50271,16757,85865,2024-03-14,Amager Vest
Apartment,4,5,No,Yes,2024-04-15,15750,700,47250,15750,79450,2024-03-13,Amager Vest
Apartment,1,0,Yes,Yes,2024-04-01,8900,585,17800,0,27285,2024-03-13,Amager Vest
Apartment,1,1,Yes,Yes,2024-04-01,9500,585,19000,0,29085,2024-03-13,Amager Vest
Apartment,3,1,No,Yes,2024-07-01,14450,1000,43350,14450,73250,2024-03-13,Amager Øst
Room,1,5,No,Yes,2024-04-01,6000,400,12000,6000,24400,2024-03-12,Amager Vest
Apartment,4,3,No,Yes,2024-04-30,17300,1100,51900,17300,87600,2024-03-12,Amager Vest
Townhouse,4,0,No,Yes,2024-05-01,18750,1250,56250,18750,95000,2024-03-12,Amager Øst
Apartment,2,1,No,Yes,2024-05-31,12800,600,38400,12800,64600,2024-03-12,Amager Vest
Apartment,4,1,No,Yes,2024-05-31,18900,1150,56700,18900,95650,2024-03-12,Amager Øst
Apartment,3,3,No,No,2024-06-01,14950,900,44850,14950,75650,2024-03-12,Amager Øst
Apartment,2,0,No,No,2024-05-15,16000,1000,48000,0,65000,2024-03-11,Amager Vest
Apartment,2,4,No,Yes,2024-06-01,14450,600,43350,14450,72850,2024-03-11,Amager Øst
Apartment,1,2,No,Yes,2024-04-30,8400,400,25200,8400,42400,2024-03-11,Amager Vest
Apartment,1,1,No,Yes,2024-04-30,9800,550,29400,9800,49550,2024-03-11,Amager Vest
Apartment,2,2,Yes,No,2024-05-01,10263,0,10263,10263,30789,2024-03-11,Amager Øst
Apartment,2,4,No,Yes,2024-05-31,16900,1000,50700,16900,85500,2024-03-11,Amager Vest
Apartment,4,5,No,Yes,2024-05-14,14095,700,42285,14095,71175,2024-03-11,Amager Vest
Apartment,3,6,No,Yes,2024-05-31,13775,700,41325,13775,69575,2024-03-11,Amager Vest
Apartment,3,0,No,Yes,2024-04-01,10500,700,31500,10500,53200,2024-03-11,Amager Vest
Apartment,2,2,No,Yes,2024-05-31,11850,850,35550,11850,60100,2024-03-11,Amager Vest
Apartment,5,0,No,Yes,2024-05-01,21950,800,65850,21950,110550,2024-03-11,Amager Øst
Apartment,2,0,No,No,2024-04-01,13250,400,39750,13250,66650,2024-03-11,Amager Øst
Apartment,3,2,No,Yes,2024-04-01,15200,650,45600,15200,76650,2024-03-11,Amager Øst
Apartment,3,4,No,Yes,2024-04-30,13550,900,40650,13550,68650,2024-03-10,Amager Vest
Apartment,3,1,No,Yes,2024-06-30,13300,800,39900,13300,67300,2024-03-10,Amager Vest
Room,1,3,Yes,Yes,2024-05-01,6599,200,6599,6599,19997,2024-03-09,Amager Øst
Apartment,3,3,Yes,Yes,2024-04-01,16000,,48000,,64000,2024-03-08,Amager Vest
Apartment,3,6,Yes,Yes,2024-05-15,15000,1000,30000,15000,61000,2024-03-08,Amager Vest
Apartment,1,4,No,Yes,2024-04-14,8950,550,26850,8950,45300,2024-03-07,Amager Øst
Apartment,5,2,No,Yes,2024-06-01,18900,1100,56700,18900,95600,2024-03-07,Amager Øst
Apartment,1,1,No,Yes,2024-07-01,7750,470,23250,7750,39220,2024-03-07,Amager Øst
Apartment,5,3,No,No,2024-07-01,20950,1100,62850,20950,105850,2024-03-07,Amager Øst
Apartment,1,0,No,Yes,2024-05-31,9100,500,27300,9100,46000,2024-03-07,Amager Øst
Apartment,3,3,No,Yes,2024-05-31,14200,850,42600,14200,71850,2024-03-06,Amager Vest
Apartment,3,1,No,Yes,2024-04-30,15700,800,47100,15700,79300,2024-03-06,Amager Øst
Apartment,3,6,No,No,2024-05-01,14200,1000,42600,0,57800,2024-03-06,Amager Øst
Apartment,3,2,No,Yes,2024-04-01,15000,800,45000,15000,75800,2024-03-06,Amager Øst
Apartment,1,5,No,Yes,2024-05-31,17150,1000,51450,17150,86750,2024-03-06,Amager Vest
Apartment,1,5,No,Yes,2024-03-31,16150,1000,48450,16150,81750,2024-03-06,Amager Vest
Apartment,4,6,No,Yes,2024-06-01,18150,1150,54450,18150,91900,2024-03-06,Amager Øst
Apartment,4,0,No,Yes,2024-06-01,18400,1000,55200,18400,93000,2024-03-06,Amager Øst
Apartment,3,0,No,Yes,2024-06-01,14750,1000,44250,14750,74750,2024-03-06,Amager Øst
Apartment,2,1,No,No,2024-06-01,12850,683,38550,12850,64933,2024-03-06,Amager Vest
Apartment,2,0,No,Yes,2024-06-01,12300,700,36900,12300,62200,2024-03-06,Amager Vest
Apartment,3,0,No,Yes,2024-06-01,13950,850,41850,13950,70600,2024-03-06,Amager Vest
Apartment,4,2,No,Yes,2024-06-01,15500,950,46500,15500,78450,2024-03-06,Amager Vest
Apartment,3,5,No,Yes,2024-06-01,12500,700,12500,0,25700,2024-03-06,Amager Øst
Apartment,4,3,No,Yes,2024-06-01,18250,1100,54750,18250,92350,2024-03-06,Amager Øst
Apartment,5,2,No,Yes,2024-06-01,16850,1246,50550,16850,85496,2024-03-06,Amager Vest
Apartment,3,1,No,Yes,2024-06-01,14950,950,44850,14950,75700,2024-03-06,Amager Vest
Apartment,2,0,No,Yes,2024-06-01,13450,700,40350,13450,67950,2024-03-05,Amager Øst
Apartment,3,6,No,Yes,2024-06-01,15300,1000,45900,15300,77500,2024-03-05,Amager Øst
Apartment,5,4,No,Yes,2024-06-01,16850,1300,50550,16850,85550,2024-03-05,Amager Vest
Apartment,4,3,No,Yes,2024-06-01,15950,1800,47850,15950,81550,2024-03-05,Amager Vest
Apartment,2,2,No,Yes,2024-06-01,12450,600,37350,12450,62850,2024-03-05,Amager Vest
Apartment,3,3,No,Yes,2024-06-01,14450,700,43350,14450,72950,2024-03-05,Amager Vest
Apartment,5,10,No,Yes,2024-06-01,16850,1000,50550,16850,85250,2024-03-05,Amager Vest
Apartment,4,1,No,Yes,2024-05-31,15500,1000,46500,15500,78500,2024-03-05,Amager Vest
Apartment,3,4,No,Yes,2024-05-31,16500,900,49500,16500,83400,2024-03-05,Amager Øst
Apartment,3,5,No,Yes,2024-03-31,13950,850,41850,13950,70600,2024-03-05,Amager Vest
Apartment,4,2,No,Yes,2024-07-15,16995,800,50985,16995,85775,2024-03-05,Amager Øst
Apartment,2,5,No,Yes,2024-06-01,13995,600,41985,13995,70575,2024-03-05,Amager Øst
Apartment,4,0,No,Yes,2024-06-14,13700,,41100,13700,68500,2024-03-05,Amager Vest
Apartment,2,3,No,Yes,2024-04-01,13800,800,41400,13800,69800,2024-03-05,Amager Øst
Apartment,2,4,No,Yes,2024-03-31,12200,600,36600,12200,61600,2024-03-04,Amager Vest
Apartment,2,6,No,Yes,2024-03-31,13000,650,39000,13000,65650,2024-03-04,Amager Vest
Apartment,4,3,No,Yes,2024-03-31,16700,1000,50100,16700,84500,2024-03-04,Amager Vest
Apartment,4,2,No,Yes,2024-03-31,17300,1150,51900,17300,87650,2024-03-04,Amager Vest
Apartment,2,3,No,Yes,2024-05-01,12950,1050,38850,12950,65800,2024-03-04,Amager Vest
Apartment,4,5,No,Yes,2024-05-31,17500,900,52500,17500,88400,2024-03-04,Amager Vest
Apartment,1,3,Yes,Yes,2024-04-30,9000,400,9000,27000,45400,2024-03-04,Amager Vest
Apartment,3,0,No,Yes,2024-05-01,16285,1320,48855,16285,82745,2024-03-04,Amager Vest
Apartment,5,1,No,No,2024-06-01,17150,1365,51450,17150,87115,2024-03-04,Amager Vest
Apartment,3,2,No,Yes,2024-06-01,15250,1000,45750,15250,77250,2024-03-04,Amager Øst
Apartment,4,0,No,Yes,2024-06-01,17000,1300,51000,17000,86300,2024-03-04,Amager Vest
House,3,0,Yes,No,2024-04-03,16900,1500,50700,0,69100,2024-03-01,Amager Vest
Apartment,3,9,No,Yes,2024-06-01,14800,1000,44400,14800,75000,2024-03-04,Amager Vest
Apartment,3,5,No,Yes,2024-06-01,14300,1000,42900,14300,72500,2024-03-04,Amager Vest
Apartment,5,2,No,Yes,2024-06-01,17000,1300,51000,17000,86300,2024-03-04,Amager Vest
Apartment,5,2,No,Yes,2024-06-01,16900,1000,50700,16900,85500,2024-03-04,Amager Vest
Apartment,4,5,No,Yes,2024-06-01,15600,1000,46800,15600,79000,2024-03-04,Amager Vest
Apartment,3,2,No,No,2024-06-01,14100,1000,42300,14100,71500,2024-03-04,Amager Vest
Apartment,5,2,Yes,No,2024-05-01,17000,0,17000,17000,51000,2024-03-04,Amager Øst
Apartment,2,5,No,Yes,2024-04-01,12500,700,37500,12500,63200,2024-03-04,Amager Vest
Room,1,4,Yes,Yes,2024-04-20,4900,1000,4900,5900,16700,2024-03-01,Amager Vest
Apartment,2,4,No,No,2024-05-01,11300,1050,33900,11300,57550,2024-03-01,Amager Vest
Apartment,4,0,No,Yes,2024-03-31,14300,,42900,14300,71500,2024-03-01,Amager Vest
Apartment,3,3,No,Yes,2024-06-01,13875,950,41625,13875,70325,2024-02-29,Amager Vest
Apartment,2,1,No,Yes,2024-04-30,10200,600,30600,10200,51600,2024-02-29,Amager Vest
